MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000847339,000000000034153614,0.0040,Active Export Interval (kWh),23-02-2025 09:30
10000847339,000000000034153614,0.0070,Active Import Interval (kWh),23-02-2025 09:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 09:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 09:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 08:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 08:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),23-02-2025 08:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 08:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 07:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 07:30
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),23-02-2025 07:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 07:00
10000847339,000000000034153614,0.0095,Active Import Interval (kWh),23-02-2025 06:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),23-02-2025 06:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 06:00
10000847339,000000000034153614,0.1115,Active Import Interval (kWh),23-02-2025 06:00
10000847339,000000000034153614,0.0750,Active Import Interval (kWh),23-02-2025 05:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 05:30
10000847339,000000000034153614,0.0815,Active Import Interval (kWh),23-02-2025 05:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 05:00
10000847339,000000000034153614,0.2065,Active Import Interval (kWh),23-02-2025 04:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 04:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 04:00
10000847339,000000000034153614,0.3570,Active Import Interval (kWh),23-02-2025 04:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 03:30
10000847339,000000000034153614,0.6675,Active Import Interval (kWh),23-02-2025 03:30
10000847339,000000000034153614,0.8055,Active Import Interval (kWh),23-02-2025 03:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 03:00
10000847339,000000000034153614,0.7110,Active Import Interval (kWh),23-02-2025 02:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 02:30
10000847339,000000000034153614,0.0935,Active Import Interval (kWh),23-02-2025 02:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 02:00
10000847339,000000000034153614,0.1245,Active Import Interval (kWh),23-02-2025 01:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 01:30
10000847339,000000000034153614,0.0875,Active Import Interval (kWh),23-02-2025 01:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 01:00
10000847339,000000000034153614,0.0985,Active Import Interval (kWh),23-02-2025 00:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 00:30
10000847339,000000000034153614,0.1185,Active Import Interval (kWh),23-02-2025 00:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),23-02-2025 00:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 23:30
10000847339,000000000034153614,0.0825,Active Import Interval (kWh),22-02-2025 23:30
10000847339,000000000034153614,0.1135,Active Import Interval (kWh),22-02-2025 23:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 23:00
10000847339,000000000034153614,0.1380,Active Import Interval (kWh),22-02-2025 22:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),22-02-2025 22:30
